Accession
8337
9590
6909
7320
9908
7384
9925
9853
351
9827
7209
7417
7287
7208
9874
9935
9911
6897
8366
7282
7026
9927
7064
6922
6924
88
7461
5486
4826
139
5236
9854
8312
9847
9868
9890
6040
8335
7250
7337
5023
9723
9312
7094
14314
14315
14319
14313
6982
5779
7276
8343
7068
9823
9762
6970
7387
6971
5644
6997
7028
10002
9982
6966
9831
7255
7258
8297
6125
6122
9380
4807
9921
4958
7307
6908
7092
8214
9809
9929
9917
9920
6108
9519
4884
9663
9716
5210
9891
6933
6943
6959
8357
7130
9503
9937
6960
9105
6137
8264
6923
7077
9897
5836
6091
6077
6118
6104
6136
9521
6140
6023
9526
6142
6150
9100
9102
9556
9764
9714
9656
4900
9864
9719
9848
9539
9901
9748
9576
9713
9833
9883
9298
9926
9314
9659
9852
9709
9855
5349
7062
8247
9471
9660
10022
108
5353
9571
9938
9511
6035
6987
7161
9998
7344
9909
9984
9976
9962
9985
9941
9648
10001
9983
9964
7378
7218
7109
7081
7107
6180
7031
7327
7119
8420
7000
5253
6989
6940
7343
7003
5726
5577
5276
