Accession
7213
7186
5151
9924
7413
6193
9549
6268
6276
5832
9391
9402
5860
6174
6017
8334
6209
6041
6151
6086
6194
1317
6210
9455
7117
10023
9399
9783
7067
6920
7323
6932
8307
14318
9595
9664
7521
9611
9838
7280
6034
8283
6938
7353
6042
7520
9693
6240
9682
9828
9836
6981
7347
9394
9692
9851
9610
9810
9667
9591
7127
9615
6070
9794
9799
9587
9669
15591
9057
9834
9694
9792
9771
9774
9797
9769
7296
9806
9683
9689
7120
9679
9601
9782
9666
9561
6237
9596
6907
9529
8290
9612
9690
9696
8244
9532
5165
6244
6241
9680
7192
6013
7394
9727
6220
6071
6958
7106
9881
9695
1066
9599
6172
8237
6238
9427
9453
5830
430
7316
9476
6973
9343
9616
9553
1062
9336
6109
6149
9369
8234
9383
1257
8351
9332
6192
6096
6011
6967
8376
9382
8427
9381
6010
9582
9754
6221
7314
9323
6918
9386
6064
8256
7244
7096
7404
6154
6189
5104
6990
9513
9681
9815
9850
9578
9830
6979
7158
6945
7165
9607
265
5748
403
424
7138
8311
6915
7071
9668
9816
6951
9737
7025
8231
6917
7517
9959
9974
6434
8239
9914
8387
9450
7424
7163
7169
9958
9975
