CS,BZO,BZO_ratio,Total_GSL,C3ratio_emmeans,Alk_emmeans,OH_emmeans,MSO_emmeans,GSOH_emmeans,lc,sc,GSOX_emmeans,Alk_OH_ratio,Ref,AOP,MAM,GSOH,Key,Classification,Classification_name,PC1,PC2,PC3,PC4,PC5,PC6,Name,Country,Lat,Long
CS78816,0.003583445,0.147670621,0.024266472,0.994064884,0.168510452,0.233602803,0.104078564,0.937946456,0.596612394,0.255005548,0.493808181,0.721354581,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,1.086158279,1.557494359,0.841167787,-1.282535599,0.979814174,7.77E-16,Ull1-1,SWE,56.06,13.97
CS78817,0.004006191,0.196320436,0.020406388,0.984463864,-0.010913764,0.855100846,0.000316664,0.937946456,0.657974108,0.127515315,0.155496254,-0.012763131,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.543702314,2.178105495,0.008774034,0.684584966,-0.485338434,6.38E-16,Ull2-3,SWE,56.0648,13.9707
CS78818,0.001520689,0.054776138,0.027761888,1.002673084,0.654553338,0.428404465,-0.011953287,0.938110008,0.889515767,0.043363513,-0.071004516,1.52788636,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.583749243,-0.702859158,-0.286979083,-0.277910571,-0.005838597,1.22E-15,Ull2-5,SWE,56.0648,13.9707
CS78819,0.001280515,0.058092846,0.022042559,0.965560913,0.380784443,0.519426521,0.000417769,0.937946456,0.799562924,0.089480581,0.099371268,0.733086255,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.119265359,0.451697683,-0.134542521,0.031016954,0.025091962,8.33E-16,Ull3-4,SWE,56.06,13.97
CS78820,0.002489515,0.114936587,0.0216599,0.029524715,-0.004191901,0.246179959,0.05135584,0.937946456,0.550686105,0.312777574,0.706656102,-0.01702779,Accession,MSO,C4,NF,C4_MSO_NF,12,4MSO,2.66722719,1.625824889,-0.076428453,0.438185657,-0.154114209,2.22E-16,Ull-A-1,SWE,56.0648,13.9707
CS78821,0.004190773,0.148808908,0.028162111,-0.00150543,0.420165582,0.21931284,0.202787351,0.984256998,0.511248605,0.317293365,0.157734227,1.915827551,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,2.09696499,0.621250943,1.351695256,-3.056946116,-1.747549091,1.90E-15,Ullapool-8,UK,57.9,-5.1525
CS78823,0.002431815,0.143192801,0.016982802,0.986663859,0.360460964,0.403093842,0.000385619,1.081878535,0.719796353,0.125822876,0.236059574,0.894235849,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.566540053,0.581666037,-0.568918748,-0.115587179,0.541167703,1.58E-15,Uod-7,AUT,48.3,14.45
CS78824,0.001846481,0.07485134,0.024668643,0.274998434,0.819270625,0.156874464,0.000181799,0.951426429,0.720406669,0.18373463,0.023673112,5.222460062,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.204198766,-1.733829718,-0.589301794,-0.388877463,-0.6344705,5.55E-17,IP-Urd-1,ESP,42.27,-2.98
CS78825,0.001338248,0.059233644,0.022592701,1.0007856,0.759265774,0.223927313,-0.003512985,0.938110008,0.735362411,0.181307716,0.020319899,3.390679612,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.925979636,-1.194863706,-0.283031904,-0.565818636,0.525584111,5.55E-17,IP-Usa-0,ESP,40.71,-3.24
CS78826,0.003275265,0.105793944,0.030958908,0.293064079,0.6444649,0.237933386,0.000148373,0.875912274,0.706430503,0.179385106,0.117453341,2.708593825,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.317132073,-1.057790598,-0.342265823,0.029075804,-0.582872203,-2.50E-16,IP-Vad-0,ESP,42.86,-3.59
CS78827,0.000908544,0.029058288,0.031266261,1.001824854,0.902864816,0.150309426,-0.008160238,0.938110008,0.912284078,0.05640038,-0.045014004,6.006707915,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.021025334,-1.815340838,-0.361210611,-0.7428768,0.564926451,1.11E-16,IP-Vae-2,ESP,42.1,-5.44
CS78828,0.002038283,0.072067349,0.02828303,0.415561838,0.682545053,0.137041744,0.000107935,0.797558404,0.645942388,0.269922069,0.180305268,4.980563101,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.502501078,-1.276017918,-0.121384211,0.040466855,-0.052703316,-4.44E-16,Vajug-1,SRB,44.56,22.56
CS78830,0.001437576,0.049046162,0.029310673,1.001407911,0.733007504,0.326984901,-0.006295786,0.938110008,0.855309194,0.077980332,-0.053696619,2.241716675,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.32861338,-1.043910713,-0.26984632,-0.497598257,0.199356707,3.33E-16,V?ùr2-1,SWE,55.58,14.334
CS78831,0.001604906,0.079326054,0.020231764,1.001007912,0.925609351,0.138808359,-0.0045071,0.938110008,0.731396287,0.157808287,-0.05991061,6.668253685,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.021312424,-1.895437421,-0.328150681,-0.846591983,0.544274424,5.55E-16,V?ùr2-6,SWE,55.58,14.334
CS78832,0.00160749,0.050850115,0.031612318,1.001342835,0.865771972,0.180158586,-0.006004785,0.938110008,0.83134932,0.075806589,-0.039925773,4.805610373,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.042337387,-1.644787609,-0.326736228,-0.716829316,0.507842469,2.22E-16,V?ùrA 1,SWE,55.5796,14.3336
