CS,BZO,BZO_ratio,Total_GSL,C3ratio_emmeans,Alk_emmeans,OH_emmeans,MSO_emmeans,GSOH_emmeans,lc,sc,GSOX_emmeans,Alk_OH_ratio,Ref,AOP,MAM,GSOH,Key,Classification,Classification_name,PC1,PC2,PC3,PC4,PC5,PC6,Name,Country,Lat,Long
CS76347,0.002805453,0.113363516,0.024747406,0.998663777,0.290125801,0.564710494,0.005988549,0.938091166,0.775471933,0.108231342,0.139175156,0.513760243,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.091233583,0.867533817,-0.04551375,0.080610512,0.049679722,6.94E-16,Aitba-2,MAR,31.48,-7.45
CS76350,0.00182978,0.064959953,0.028167816,0.988399718,0.610205396,0.270343529,0.018004216,-1.070921986,0.774033597,0.150345238,0.101446859,2.257148148,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.542617257,-2.048073178,5.467848578,2.288258494,0.511441362,-1.07E-14,Vezzano-2.2,ITA,46.6297,10.817
CS76351,0.00258379,0.101134631,0.025548024,0.912863786,0.3735337,0.406945624,0.000338286,1.010235551,0.786920505,0.095342285,0.21918239,0.91789585,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.518662044,0.448075824,-0.399854449,1.82E-05,0.372899229,6.31E-16,Rovero-1,ITA,46.2543,11.167
CS76352,0.004497858,0.18626538,0.024147579,0.968923727,-0.003807132,0.943862131,0.006043096,0.937946456,0.465722339,0.308909683,0.053901905,-0.004033568,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.927956139,2.220309309,0.098554571,0.552631618,-0.89570496,1.33E-15,Voeran-1,ITA,46.36,11.23
CS76353,0.001757673,0.090330138,0.019458323,0.96791063,0.526211329,0.43747642,0.000270097,1.012242497,0.731065773,0.156784374,0.036042155,1.202833582,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-1.171898885,-0.104136579,-0.372547216,-0.334688991,0.068904365,1.17E-15,Altenb-2,ITA,46.3716,11.2376
CS76354,0.001977487,0.089576461,0.022075967,0.986973045,0.519481385,0.419874275,0.000126215,0.937946456,0.584671102,0.295730646,0.060518125,1.237230799,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.095987984,-0.13836459,-0.169971165,-0.214322625,0.183873165,2.22E-16,Mitterberg-1-181,ITA,46.366,11.2832
CS76355,0.002541402,0.072368555,0.03511749,0.97860662,0.651306414,0.149321284,0.013050849,0.378698225,0.631195992,0.293532994,0.186321453,4.361778817,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.170636671,-1.188386084,1.385741701,0.210079291,0.886615184,-2.82E-15,Castelfed-4-212,ITA,46.3378,11.2928
CS76356,0.004242992,0.238806536,0.017767487,0.969816335,0.755441028,0.18008086,-0.003375609,0.938110008,0.51290225,0.239928979,0.067853721,4.195010115,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.673155195,-1.217561416,-0.311416298,-0.532439929,0.644032887,2.78E-16,Castelfed-4-213,ITA,46.3378,11.2928
CS76357,0.002740998,0.15722467,0.017433638,0.959536633,0.250566476,0.39940816,0.03433824,1.044796197,0.697738644,0.141230017,0.315687124,0.627344408,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.0857109,1.110226753,-0.125071552,-0.421903201,0.523356933,1.25E-15,Bozen-1.1,ITA,46.513,11.331
CS76358,0.004010254,0.172100914,0.023301759,0.953358404,0.435604575,0.159301012,0.053205908,0.938110008,0.617894729,0.205014352,0.351888504,2.734474621,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,0.54651036,0.245216546,0.264042837,-0.877591403,0.975601326,3.89E-16,Bozen-1.2,ITA,46.513,11.331
CS76359,0.001924452,0.049359717,0.038988311,-0.004219491,0.654368704,0.061747231,0.000258464,1.000476062,0.862116005,0.081769687,0.283625601,10.59753929,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.48896783,-1.222875044,-0.869627215,0.024183797,-0.458618106,-2.22E-16,Ciste-1,ITA,41.62,12.87
CS76360,0.001529097,0.059011128,0.025912011,0.015677951,0.555582773,0.132988033,0.000320896,1.000694265,0.819566375,0.099097287,0.311108299,4.177689992,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.422603097,-0.78870185,-0.832766477,0.183727909,-0.510087971,6.11E-16,Ciste-2,ITA,41.62,12.87
CS76361,0.0013046,0.040854647,0.03193272,-0.003126373,0.753058103,0.102118669,0.000191505,1.000307146,0.815247305,0.134744206,0.144631723,7.374343125,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.019804575,-1.582847669,-0.853145254,-0.178810551,-0.794385344,5.55E-16,Monte-1,ITA,40.28,15.65
CS76362,0.002770315,0.106749216,0.025951619,0.003313957,0.803222412,0.090748033,0.000108975,0.918870298,0.585636409,0.291363478,0.10592058,8.85112755,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.921314704,-1.844911923,-0.632761414,-0.155269466,-0.832041387,-2.22E-16,Angel-1,ITA,38.62,16.17
CS76364,0.003214102,0.121596977,0.026432417,-0.0016488,0.726885331,0.16125906,0.000100997,0.839675192,0.541342548,0.308661178,0.111754613,4.507562756,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.830366695,-1.569828333,-0.388692074,0.090733343,-0.965205055,-6.66E-16,Mammo-2,ITA,38.38,16.22
CS76365,0.00363473,0.118518296,0.030668092,0.035505849,0.6948258,0.099125352,8.65E-05,0.949659117,0.551313135,0.310448201,0.205962301,7.009567071,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.150113561,-1.382078547,-0.701464014,-0.00767619,-0.604640679,7.63E-17,Mammo-1,ITA,38.36,16.23
CS76366,0.003129768,0.123403049,0.025362161,-0.001648506,0.584147701,0.10004723,0.000100979,0.874781466,0.527438768,0.321743718,0.31570409,5.838719398,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.5179193,-1.023793876,-0.509728417,0.334966889,-0.465957709,-4.72E-16,Angit-1,ITA,38.76,16.24
CS76367,0.002089874,0.079850098,0.026172466,-0.001648388,0.475309903,0.062277371,0.000100972,0.930043005,0.576833141,0.311804814,0.462311755,7.632144691,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,2.000589556,-0.580309048,-0.676574282,0.47676738,-0.119515842,-5.55E-16,Lago-1,ITA,39.18,16.26
CS76368,0.001673342,0.059967554,0.027904123,0.973350853,0.41016211,0.261544114,0.000351191,1.038870083,0.845234983,0.084084492,0.327942585,1.568233001,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.046566422,0.266985948,-0.514069453,-0.099738196,0.963860614,7.77E-16,Apost-1,ITA,39.01,16.47
CS76369,0.001524441,0.066733959,0.022843557,0.991490316,0.750196901,0.220184772,0.000110692,0.937946456,0.570237418,0.325873373,0.029507636,3.407124367,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.858543299,-1.150411162,-0.249914238,-0.605093959,0.520094381,0,Dobra-1,SRB,44.84,20.16
CS76370,0.001786904,0.089455247,0.019975396,0.968076031,0.524292935,0.32921929,0.000200219,0.937946456,0.661453517,0.206028305,0.146287557,1.592534067,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.671897972,-0.217449134,-0.213395793,-0.188599256,0.485891901,4.44E-16,Petro-1,SRB,44.34,21.46
CS76371,0.003736517,0.146637077,0.025481393,0.236743712,0.807086814,0.143033073,9.50E-05,0.887468758,0.486997275,0.340242308,0.049785071,5.64265871,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.356412291,-1.759540453,-0.435142371,-0.246975621,-0.625309416,3.89E-16,Lecho-1,BUL,41.43,23.5
CS76372,0.002903148,0.114543267,0.025345427,0.038831364,0.606423316,0.147027686,-0.002372582,0.63385005,0.622384427,0.239298514,0.24892158,4.12455186,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.186783539,-1.262331384,0.160288319,0.653822104,-0.597854301,-1.86E-15,Jablo-1,BUL,41.59,25.2
CS76373,0.00244639,0.12898657,0.018966238,0.982397059,0.559385152,0.380259341,0.000493412,1.076253721,0.75917712,0.088051462,0.059862096,1.471062225,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-1.028817077,-0.210583896,-0.563561076,-0.486927755,0.248021577,1.50E-15,Bolin-1,ROU,44.46,25.74
CS76374,0.00299739,0.148049315,0.020245889,0.985617376,0.484157756,0.503644817,0.00028477,0.937946456,0.696862506,0.142920915,0.011912657,0.961307929,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.372704315,0.048124267,-0.134721043,-0.172753833,-0.071987434,6.66E-16,Shigu-2,RUS,53.33,49.48
CS76375,0.001816261,0.085997357,0.021119963,0.987936245,0.609919124,0.341449057,0.000338955,0.937946456,0.742864556,0.115104415,0.048292864,1.786266826,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.000430335,-0.534565956,-0.199399903,-0.370852725,0.313585693,7.77E-16,Shigu-1,RUS,53.33,49.48
CS76376,0.003024056,0.147683054,0.020476662,0.819822733,0.317527641,0.520110775,0.000349244,1.007107083,0.722044928,0.115222979,0.162012341,0.610500024,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.745159802,0.692230413,-0.381059844,0.125273223,-0.117186797,6.38E-16,Kidr-1,RUS,51.31,57.56
CS76377,0.002601156,0.096042655,0.027083341,0.253100456,0.852094286,0.118847853,0.000113829,0.025891708,0.605396425,0.267283712,0.028944033,7.16962289,Accession,Alk,C4,NF,C4_Alk_NF,10,Butenyl,0.34857784,-2.604768556,1.925439192,0.927453361,-0.577573603,-5.05E-15,Stepn-2,RUS,54.09,60.46
CS76378,0.002421576,0.114427517,0.021162532,0.370871307,0.68706206,0.230248217,0.000157814,0.088053106,0.613966181,0.246725013,0.082531909,2.984006002,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.154767818,-1.802575305,1.846452704,1.065118774,-0.485737245,-4.72E-15,Stepn-1,RUS,54.06,60.48
CS76379,0.002681587,0.093645496,0.028635515,0.123915551,0.646651105,0.222498703,0.000112832,0.668400812,0.631043791,0.255029497,0.13073736,2.906314043,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.619007364,-1.30321497,0.15497723,0.41749283,-0.824171813,-1.30E-15,Sij-1,UZB,41.45,70.05
CS76380,0.003484364,0.095073561,0.036649137,0.1514267,0.787622333,0.068567511,0.001408601,0.691034799,0.57624748,0.31070816,0.142401556,11.48681529,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.878816431,-1.90740862,0.054231973,0.120258866,-0.461204984,-1.72E-15,Sij-2,UZB,41.45,70.05
CS76381,0.00287924,0.112672029,0.025554168,0.150279053,0.771425525,0.147773813,0.000152551,0.788266578,0.646017582,0.211373657,0.080648111,5.22031278,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.55912873,-1.729021959,-0.193845939,0.00790027,-0.728442864,-9.44E-16,Sij-4,UZB,41.45,70.05
CS76382,0.002400896,0.1101957,0.021787565,0.150784395,0.71246862,0.169184841,7.45E-05,-0.002323203,0.36165046,0.507616701,0.118272034,4.211184738,Accession,Alk,C4,NF,C4_Alk_NF,10,Butenyl,0.6616793,-2.095588418,1.983502898,1.27619895,-0.688125275,-5.08E-15,Ara-1,AFG,37.29,71.3
CS76383,0.001893554,0.12977346,0.014591227,1.00192736,0.877243671,0.221621295,-0.008618619,0.938110008,0.738135256,0.114427732,-0.090246346,3.958300453,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.273011888,-1.675874776,-0.336908259,-0.706467329,0.344337658,1.11E-16,Koz-2,RUS,51.33,82.19
CS76384,0.004200009,0.184289657,0.022790259,0.981201988,0.799086772,0.200381516,-0.001926319,0.760191847,0.460329786,0.327780612,0.002458032,3.987826769,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.894808192,-1.501517773,0.204462976,-0.393236734,0.499515719,-6.66E-16,Kly-4,RUS,51.32,82.55
CS76385,0.003584753,0.177096002,0.020241863,0.410501346,0.125922592,0.344164735,0.56677553,0.938110008,0.609879736,0.194832858,-0.036862857,0.365878834,Accession,Alk,C4,NF,C4_Alk_NF,10,Butenyl,2.991895133,3.50128096,5.483529668,-8.968761272,-2.979276506,4.88E-15,Kly-1,RUS,51.3333,82.5667
CS76387,0.008149404,0.330528196,0.0246557,0.980675111,0.066875854,0.686086494,-0.001937822,0.938110008,0.356568868,0.301182446,0.248975473,0.097474378,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.00154485,1.765850749,-0.085496465,0.624556904,0.017981637,8.33E-16,Xan-1,AZE,38.6536,48.7992
CS76388,0.007286168,0.230570377,0.031600625,0.953745594,0.037639317,0.702773083,0.006393843,0.938110008,0.343084323,0.417521585,0.253193757,0.053558279,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-0.929767849,1.913514156,-0.002235105,0.545185552,-0.084982018,1.03E-15,Lerik1-3,AZE,38.7406,48.6131
CS76389,0.003771738,0.127086569,0.029678494,0.980227606,0.30460681,0.641376189,0.000150968,0.937946456,0.66063854,0.183908085,0.053866033,0.474926908,Accession,AOP23,C3,NF,C3_AOP23_NF,4,?,-1.475090066,0.824016582,-0.081942121,0.14008554,-0.268917856,5.55E-16,Istisu-1,AZE,38.9786,48.5594
CS76390,0.003755183,0.125092207,0.03001932,0.504207056,-0.004092421,0.549007675,0.014191114,0.937946456,0.640622771,0.231164896,0.440893632,-0.007454215,Accession,MSO,C3,NF,C3_MSO_NF,6,3MSO,0.525456019,1.837399146,-0.15697564,0.758438851,-0.259791291,8.88E-16,Lag2-2,GEO,41.8296,46.2831
CS76392,0.003203504,0.150804155,0.02124281,0.669901185,0.772451063,0.259143961,-0.004707034,0.980419385,0.69355627,0.143913494,-0.02688799,2.980779717,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.679649686,-1.331213591,-0.525318608,-0.480459214,-0.211376326,6.66E-16,Bak-2,GEO,41.7942,43.4767
CS76394,0.002454529,0.125044792,0.019629198,0.289087378,0.669211293,0.20405953,0.000129751,0.438326138,0.53836886,0.32353013,0.126599426,3.279490519,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.422454577,-1.512118049,0.842816521,0.634865101,-0.501578725,-2.19E-15,Yeg-1,ARM,39.8692,45.3622
CS76400,0.003054339,0.177103653,0.017246053,0.064812268,-0.00563945,0.443714423,0.025425878,0.937946456,0.518937055,0.291995796,0.536499149,-0.012709638,Accession,MSO,C4,NF,C4_MSO_NF,12,4MSO,1.642039088,1.652139917,-0.252738117,0.814284393,-0.695405642,4.44E-16,Star-8,GER,48.43,8.82
CS76402,0.004929756,0.209984486,0.023476763,0.885457407,0.097084404,0.340356581,0.144256683,0.938110008,0.568561392,0.217885661,0.418302331,0.285243212,Accession,MSO,C3,NF,C3_MSO_NF,6,3MSO,1.083753214,2.023239785,1.26106173,-1.819039328,0.290794649,1.33E-15,Nie1-2,GER,48.52,8.8
CS76403,0.004489589,0.184379908,0.024349665,0.965562625,0.361217047,0.442150405,0.015891227,1.017164654,0.608410216,0.197303987,0.180741321,0.816955142,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.664973031,0.60861005,-0.221993878,-0.292320445,0.268055415,1.11E-15,TueSB30-3,GER,48.53,9.06
CS76404,0.003754376,0.173112733,0.021687463,0.972353548,0.347566632,0.426833085,0.00023403,0.937946456,0.654368238,0.162348265,0.225366253,0.814291684,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.612688837,0.528570426,-0.171450552,0.123061474,0.452408359,4.65E-16,HKT2.4,GER,48.14,9.4
CS76405,0.003518542,0.135539145,0.0259596,0.007778883,0.414521909,0.136858511,0.000100675,0.990778395,0.531520091,0.315286945,0.448518905,3.02883545,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.82134891,-0.249818185,-0.809154477,0.478983194,-0.273660529,0,TueWa1-2,GER,48.53,9.04
CS76406,0.00407611,0.160422462,0.025408599,0.984257729,0.633070099,0.35668535,-0.002527546,0.938110008,0.599537938,0.224068632,0.012772098,1.774869922,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.140545731,-0.629066095,-0.224988133,-0.369123391,0.221877437,6.11E-16,Rue3-1-31,GER,48.56,9.16
CS76407,0.004289379,0.159936438,0.026819273,0.023871352,0.593365733,0.242533989,0.000114255,1.000232779,0.546662356,0.268909227,0.163986023,2.446526099,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.80422994,-0.869358964,-0.785972091,0.077821607,-0.981758353,3.33E-16,TueV-13,GER,48.52,9.05
CS76410,0.00358055,0.100004381,0.035803931,-0.012254175,0.587069302,0.005933259,0.001456215,0.544148703,0.586463225,0.307643815,0.405541224,98.94551213,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.969052587,-1.343163985,0.369181823,0.82380398,-0.135504056,-2.66E-15,Cdm-0,ESP,39.73,-5.74
CS76411,0.001979028,0.068211148,0.029013263,0.306706962,0.583055716,0.077287001,0.00292655,0.739901866,0.738984746,0.188908671,0.336730734,7.54403339,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.21971501,-1.000572531,-0.00011155,0.340887593,0.153287305,-1.17E-15,Don-0,ESP,36.83,-6.36
CS76412,0.002690426,0.098539473,0.027303028,0.011416881,0.510426467,0.229364302,0.000135813,0.983725387,0.65417722,0.222215499,0.260073418,2.225396292,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.120401182,-0.572278936,-0.750524383,0.272909331,-0.798502511,2.36E-16,Fei-0,POR,40.92,-8.54
CS76413,0.001627918,0.052764195,0.030852702,1.002105999,0.788913205,0.220653449,-0.009417441,0.938110008,0.887635158,0.049526165,-0.000149213,3.575349535,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-1.01725257,-1.336361755,-0.345445434,-0.520734414,0.517953765,-1.67E-16,Leo-1,ESP,41.8,-3.11
CS76414,0.001505334,0.042600479,0.035336082,0.047193786,0.612542742,0.25301778,-0.002883523,0.504759129,0.76287176,0.141227429,0.137323001,2.420947424,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.679541792,-1.322145418,0.555497604,0.8042815,-0.993139487,-2.25E-15,Mer-6,ESP,38.92,-6.34
CS76416,0.00409771,0.148624591,0.027570875,0.988590613,0.653207928,0.30199425,-0.004936144,0.938110008,0.729669627,0.10573589,0.049733966,2.162981339,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.963594672,-0.747770764,-0.270694189,-0.352307189,0.41336751,3.89E-16,Pra-6,ESP,41.05,-3.54
CS76417,0.002088488,0.084371309,0.024753533,0.057727991,0.413810229,0.059927073,0.000143041,0.9082398,0.667783704,0.232717688,0.526119656,6.905230074,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,2.10851436,-0.335301033,-0.594208926,0.599017131,0.109341583,-2.22E-16,Qui-0,ESP,42.69,-6.93
CS76418,0.000929616,0.035348507,0.026298593,0.999948382,0.601543921,0.149071824,0.000215904,0.937946456,0.779235564,0.14512244,0.249168351,4.035262376,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.118746475,-0.610336197,-0.274277175,-0.300928928,1.08286544,3.19E-16,Vie-0,ESP,42.63,0.76
CS76419,0.003823126,0.188493768,0.020282506,0.896765365,0.526965223,0.3185524,0.036805586,1.006907663,0.597905207,0.180364743,0.11767679,1.654249732,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.418816818,-0.055608951,-0.052937143,-0.891332696,0.189918007,1.14E-15,Slavi-1,BUL,41.43,23.65
CS76420,0.002094588,0.082677565,0.025334418,0.976835886,0.539334675,0.435609239,0.000109372,1.013628736,0.603179475,0.297379556,0.024946714,1.238115784,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-1.213883717,-0.15226153,-0.375348606,-0.363275651,0.068116316,9.99E-16,Copac-1,ROU,46.11,21.95
CS76421,0.002794094,0.111234803,0.025118883,0.956747071,0.512892961,0.406215577,0.000199313,0.716742081,0.709803057,0.164585105,0.080692149,1.262612735,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.964911373,-0.302776325,0.420474713,0.140448663,0.197193641,-7.77E-16,Borsk-2,RUS,53.04,51.75
CS76423,0.002237206,0.071914987,0.031109037,0.000602061,0.766059133,0.138274403,0.000143464,0.979103575,0.726711211,0.184628055,0.095523,5.540136969,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.813684634,-1.627228235,-0.779335471,-0.184789214,-0.949084973,5.55E-17,Galdo-1,ITA,40.57,15.32
CS76424,0.001847737,0.080568449,0.022933754,-0.002120995,0.501131056,0.084096555,0.000129921,0.925808916,0.631935485,0.276548923,0.414642468,5.958996261,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.828025986,-0.671234226,-0.655996256,0.426005782,-0.251726084,-1.67E-16,Timpo-1,ITA,39.27,16.27
CS76425,0.003487141,0.12315399,0.028315291,0.048319471,0.730709363,0.131086406,0.000106369,0.933293395,0.591600747,0.273583914,0.138097862,5.574257367,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.884887543,-1.510202202,-0.638440524,-0.069617241,-0.770562723,-1.39E-16,Valsi-1,ITA,40.18,16.45
CS76428,0.002238007,0.110008463,0.020343953,0.037389511,-0.003322605,0.200429029,0.058878277,0.937946456,0.445945779,0.420135161,0.744015299,-0.016577462,Accession,MSO,C4,NF,C4_MSO_NF,12,4MSO,2.886222691,1.630498882,-0.013574361,0.315847255,-0.009896151,0,Aa-0,GER,50.9167,9.57073
CS76430,0.003790378,0.139666417,0.027138793,-0.002319109,0.691420608,0.076039427,0.000142057,0.952798586,0.619660939,0.213734781,0.232397909,9.09292239,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.316311492,-1.394941095,-0.733524788,0.018880851,-0.577632686,4.02E-16,Ag-0,FRA,45,1.3
CS76431,0.003007995,0.12022661,0.025019378,0.022005854,-0.003003211,0.170444061,0.024436743,0.937946456,0.494420044,0.377955478,0.808122408,-0.017619924,Accession,MSO,C4,NF,C4_MSO_NF,12,4MSO,2.931410479,1.460477305,-0.390780182,0.928944134,0.268974469,-4.44E-16,Ak-1,GER,48.0683,7.62551
CS76432,0.002581187,0.133742372,0.019299695,-0.001944879,0.712810883,0.087065704,0.000119133,0.989195854,0.47151346,0.358380118,0.20000428,8.187045521,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.202630391,-1.443583262,-0.829026584,-0.079129574,-0.659245197,3.47E-16,Alst-1,UK,54.8,-2.4333
CS76433,0.002482983,0.147798348,0.016799802,0.241446471,0.805994022,0.116317483,0.000197742,0.126206837,0.574973321,0.248041732,0.077490754,6.929259482,Accession,Alk,C4,NF,C4_Alk_NF,10,Butenyl,0.504898752,-2.354213695,1.645594785,0.875028829,-0.504103997,-4.55E-15,Altai-5,CHN,47.75,88.4
CS76434,0.001277234,0.048330776,0.026426929,0.99163035,0.778893931,0.203181164,0.000195387,1.05257618,0.770637668,0.159581955,0.017729517,3.833494774,Accession,Alk,C3,F,C3_Alk_F,1,Allyl,-0.868277125,-1.183330585,-0.570446423,-0.825377952,0.529408796,1.33E-15,Amel-1,NED,53.448,5.73
CS76435,0.003562357,0.173404567,0.020543617,0.06822589,0.468078286,0.370996244,-0.002175809,0.916495587,0.489530449,0.321931286,0.163101279,1.261679314,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.516537605,-0.36330029,-0.510507275,0.42362844,-1.143882172,3.05E-16,An-1,BEL,51.2167,4.4
CS76436,0.003835803,0.139852228,0.027427543,0.06862989,0.449009075,0.262040882,0.00016128,1.000433154,0.657072453,0.186276802,0.288788763,1.713507724,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.070270554,-0.278397111,-0.760585883,0.329439742,-0.707250099,6.38E-16,Ang-0,BEL,50.3,5.3
CS76437,0.000977451,0.032397283,0.030170771,0.906863438,0.377292308,0.645545299,-0.010932574,0.938110008,0.899142885,0.043626661,-0.011905033,0.584455201,Accession,AOP23,C3,NF,C3_AOP23_NF,4,?,-1.639211723,0.467817706,-0.224729828,0.225611546,-0.488294451,9.99E-16,ANH-1,GER,51.85,6.4333
CS76439,0.007102622,0.305242547,0.023268781,0.913518589,0.010607227,0.793965589,0.000134052,1.012890156,0.425284589,0.264167125,0.195293132,0.013359807,Accession,OH,C3,F,C3_OH_F,7,3OHP,-1.234875488,2.086963195,-0.251110418,0.589214726,-0.418312946,1.53E-15,Anz-0,IRN,37.47,49.47
CS76440,0.002439885,0.101199574,0.024109637,-0.005109211,0.637948689,0.076161498,0.000312964,0.907068767,0.74080804,0.109204962,0.285576849,8.376262311,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.4757734,-1.222587164,-0.607232376,0.188222335,-0.48341463,-3.89E-16,Appt-1,NED,51.8333,5.5833
CS76441,0.000749497,0.040383791,0.018559352,0.999937516,0.398086019,0.28759982,0.000261355,0.937946456,0.763376487,0.169876674,0.314052806,1.384166442,Accession,Alk,C3,NF,C3_Alk_NF,2,Allyl,-0.162692543,0.261877986,-0.217192552,0.052383707,0.936103324,2.78E-17,Ba-1,UK,56.5459,-4.79821
CS76442,0.002212658,0.096027297,0.023041969,0.993319193,-0.003338699,0.104416784,0.137246403,0.937946456,0.520593095,0.369152826,0.761675512,-0.031974735,Accession,MSO,C3,NF,C3_MSO_NF,6,3MSO,2.275780967,2.289251967,1.134329524,-1.484710892,1.605697632,8.88E-16,Baa-1,NED,51.3333,6.1
CS76444,0.001428619,0.074325809,0.019221035,0.027134649,-0.002679237,0.038786157,0.046409516,0.937946456,0.351897589,0.551461344,0.917483564,-0.069077155,Accession,MSO,C4,NF,C4_MSO_NF,12,4MSO,3.592728353,1.476714874,-0.213283805,0.584093377,0.655324564,-2.22E-16,Bch-1,GER,49.5166,9.3166
CS76445,0.00147818,0.063221973,0.023380795,0.943561044,0.298720524,0.631182755,0.000741517,0.937946456,0.882704499,0.047527725,0.069355204,0.473271048,Accession,AOP23,C3,NF,C3_AOP23_NF,4,?,-1.360071529,0.828652452,-0.09411526,0.162371719,-0.28721313,1.33E-15,Bd-0,GER,52.4584,13.287
CS76447,0.002677884,0.123329408,0.021713264,0.961933095,-0.011071351,0.930953273,0.000321236,0.937946456,0.704931647,0.118134657,0.079796841,-0.011892488,Accession,OH,C3,NF,C3_OH_NF,8,3OHP,-1.857335308,2.214080403,0.03095686,0.673257521,-0.813376263,1.11E-15,Benk-1,NED,52,5.675
CS76449,0.001842275,0.058709757,0.031379367,0.458122983,0.792297097,0.150694447,0.001094569,0.188758518,0.75150334,0.171485742,0.055913887,5.257639622,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,0.093931627,-2.141698091,1.581178811,0.677518016,-0.232321531,-4.11E-15,Bik-1,LBN,33.92,35.7
CS76450,0.003769162,0.152454159,0.024723248,0.948237077,-0.009837352,0.53918591,0.000285432,0.937946456,0.727265606,0.116766777,0.470366011,-0.018244825,Accession,MSO,C3,NF,C3_MSO_NF,6,3MSO,-0.061888068,1.974218929,-0.134080121,0.795158254,0.650424349,6.66E-16,Bl-1,ITA,44.5041,11.3396
CS76451,0.001036817,0.04512161,0.02297828,0.005703234,0.57584734,0.174204566,0.000164501,0.966307301,0.717001087,0.217992292,0.249783593,3.305581213,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.191380862,-0.874470342,-0.727168668,0.190069537,-0.721047314,8.33E-17,Bla-1,ESP,41.6833,2.8
CS76452,0.004091489,0.142922325,0.028627361,-0.00139482,0.513209624,0.156230403,8.54E-05,0.968148212,0.497598712,0.336889452,0.330474533,3.284953601,Accession,Alk,C4,F,C4_Alk_F,9,OH-But,1.462638154,-0.643275193,-0.743020818,0.319343418,-0.547687569,1.67E-16,Boot-1,UK,54.4,-3.2667
